Location Name,Amount Spent (EUR)
Baden-Württemberg,11101
Bayern,11752
Berlin,4971
Brandenburg,1605
Bremen,728
Hamburg,2840
Hessen,5953
Mecklenburg-Vorpommern,1057
Niedersachsen,6913
Nordrhein-Westfalen,16898
Rheinland-Pfalz,3818
Saarland,1250
Sachsen,2815
Saxony-Anhalt,1275
Schleswig-Holstein,2207
Thüringen,1396
