Location Name,Amount Spent (EUR)
Baden-Württemberg,10023
Bayern,10668
Berlin,4510
Brandenburg,1441
Bremen,672
Hamburg,2681
Hessen,5325
Mecklenburg-Vorpommern,991
Niedersachsen,6527
Nordrhein-Westfalen,15724
Rheinland-Pfalz,3503
Saarland,1220
Sachsen,2595
Saxony-Anhalt,1200
Schleswig-Holstein,2056
Thüringen,1268
