Page ID,Page Name,Disclaimer,Amount Spent (EUR)
78502295414,CDU,CDU,1505
768905426534529,Bundesregierung,Bundesregierung,1096
82734241364,Campact e.V.,Campact e.V.,1047
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,637
351947321504088,GRÜNE Niedersachsen,Grüne Niedersachsen,538
178362315106,European Parliament,European Parliament,498
75159424764,Aktion Mensch,Aktion Mensch,410
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,271
21289227249,FDP,FDP,226
107898832590939,European Commission,European Commission,218
100822712149179,Katharina Pötter,Katharina Pötter,215
104342778292114,Kaspar Haller,Kaspar Haller,208
111033161266569,DeinMorgen,Die Jungen Unternehmer,198
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,187
387862064617610,Grüne Hannover,BÜNDNIS 90/DIE GRÜNEN,171
106261086094051,noz.de,Neue Osnabrücker Zeitung GmbH & Co. KG,170
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",166
108165514298122,Zukunft sichern,Zukunft Sichern,153
123523341045520,Die Familienunternehmer,Die Familienunternehmer,113
170688644503,UNICEF Deutschland,UNICEF Deutschland,110
154149027994068,ZDF,ZDF,104
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),101
101229198906085,Uwe Semper - Bürgermeisterkandidat,SPD Hohenhameln,≤100
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,≤100
23216224900,Plan International Deutschland,Plan International Deutschland,≤100
113462377450395,Adis Ahmetovic,SPD Hannover,≤100
540404695989874,AfD,AfD,≤100
331832984040,LichtBlick,LichtBlick,≤100
249296718436,IG Metall,IG Metall,≤100
1312721828781856,Diskutier Mit Mir,Diskutier Mit Mir e.V.,≤100
484950398505596,IRC Deutschland,IRC Deutschland,≤100
198862383502965,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,≤100
145515862174755,Cellesche Zeitung,Cellesche Zeitung Schweiger & Pick Verlag Pfingsten GmbH & Co. KG,≤100
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,≤100
101311178864729,Die Grünen - Kreisverband Stade,BÜNDNIS 90/DIE GRÜNEN,≤100
102444808623342,Bündnis 90/die Grünen Kreisverband Diepholz,BÜNDNIS 90/DIE GRÜNEN,≤100
346302128774676,Grüne KV Friesland,BÜNDNIS 90/DIE GRÜNEN,≤100
340332092731147,Svenja Stadler,SPD Landkreis Harburg,≤100
76866574484,SPD Niedersachsen,SPD Niedersachsen,≤100
116300668444052,FDP Peine,FDP Kreisverband Peine,≤100
47930567748,SPD,SPD,≤100
113319324330513,Politcheck,Forum für politischen und gesellschaftlichen Informationsaustausch,≤100
247762585237953,Delmenhorster Kreisblatt,DK Medien GmbH & Co. KG,≤100
145553058849870,Klimahaus Bremerhaven,Klimahaus Betriebsgesellschaft mbH,≤100
105010608261632,CDU Kreisverband Osterholz,CDU Kreisverband Osterholz,≤100
235730966607664,Claudio Griese,CDU Stadtverband Hameln,≤100
