Location Name,Amount Spent (EUR)
Baden-Württemberg,9446
Bayern,10578
Berlin,6394
Brandenburg,1675
Bremen,559
Hamburg,3832
Hessen,5820
Mecklenburg-Vorpommern,943
Niedersachsen,6018
Nordrhein-Westfalen,15230
Rheinland-Pfalz,3304
Saarland,1448
Sachsen,2264
Saxony-Anhalt,1075
Schleswig-Holstein,1962
Thüringen,1165
