Page ID,Page Name,Disclaimer,Amount Spent (EUR)
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,5588
78502295414,CDU,CDU,2567
47930567748,SPD,SPD,2454
82734241364,Campact e.V.,Campact e.V.,2259
319040328150027,Facebook Politik und Gesellschaft,Facebook Politik und Gesellschaft,1581
123523341045520,Die Familienunternehmer,Die Familienunternehmer,1163
21289227249,FDP,FDP,1049
103265132033300,Dranbleiben BW,"die wegmeister gmbh für das Ministerium für Soziales, Gesundheit und Integration Baden-Württemberg",913
105205171835668,Zervakis & Opdenhövel. Live.,ProSieben,749
538936319946884,GermanDream,GermanDream mit Facebook-Werbegutschrift,653
111033161266569,DeinMorgen,Die Jungen Unternehmer,564
75159424764,Aktion Mensch,Aktion Mensch,490
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,461
308675340042451,Stuttgart macht's rein.,Landeshauptstadt Stuttgart ,443
1655252804795367,Oatly,Oatly,442
47694585682,DIE LINKE,DIE LINKE,427
540404695989874,AfD,AfD,425
400646766650321,Blinkist,Blinks Labs GmbH,424
241400009229424,FDP Baden-Württemberg,FDP Baden-Württemberg,375
109478215738226,Armin Laschet,CDU,342
139782149374162,Benjamin Strasser,Benjamin Strasser,338
178362315106,European Parliament,European Parliament,280
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,271
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,263
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,260
173949587746947,dieBasis Kreisverband Karlsruhe,Kreisverband dieBasis Karlsruhe Stadt,238
249296718436,IG Metall,IG Metall,230
1675394899406675,Annalena Baerbock,BÜNDNIS 90/DIE GRÜNEN,220
273212876157375,Bündnis 90/ Die Grünen Kreisverband Böblingen,BÜNDNIS 90/DIE GRÜNEN,206
386021434908185,Michael Theurer,FDP Karlsruhe-Stadt,197
451241478944949,Yannick Bury,Yannick Bury,190
1672408719723194,Deutschland3000,funk,189
197640170649147,funk,funk,186
154149027994068,ZDF,ZDF,186
23216224900,Plan International Deutschland,Plan International Deutschland,181
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,163
170723476273472,Grüne Kreisverband Ludwigsburg,BÜNDNIS 90/DIE GRÜNEN,162
263503200272,Welthungerhilfe,Welthungerhilfe,160
108165514298122,Zukunft sichern,Zukunft Sichern,160
376601206024823,DIE DA OBEN!,funk,159
110976485656573,Junge Liberale JuLis,Junge Liberale,148
1312721828781856,Diskutier Mit Mir,Diskutier Mit Mir e.V.,147
727034730799819,Thomas Utz,Thomas Utz,144
1578640155687393,Sea-Watch,Sea-Watch,142
