Location Name,Amount Spent (EUR)
Baden-Württemberg,10239
Bayern,13416
Berlin,5828
Brandenburg,1498
Bremen,646
Hamburg,2648
Hessen,6796
Mecklenburg-Vorpommern,1714
Niedersachsen,9002
Nordrhein-Westfalen,21626
Rheinland-Pfalz,4267
Saarland,1570
Sachsen,2697
Saxony-Anhalt,1337
Schleswig-Holstein,2533
Thüringen,1503
