Location Name,Amount Spent (EUR)
Baden-Württemberg,18696
Bayern,19773
Berlin,14562
Brandenburg,2672
Bremen,1395
Hamburg,6504
Hessen,11439
Mecklenburg-Vorpommern,2471
Niedersachsen,17235
Nordrhein-Westfalen,35331
Rheinland-Pfalz,6652
Saarland,1876
Sachsen,5040
Saxony-Anhalt,2447
Schleswig-Holstein,4467
Thüringen,2487
