Location Name,Amount Spent (EUR)
Baden-Württemberg,46372
Bayern,54089
Berlin,39671
Brandenburg,7271
Bremen,3474
Hamburg,17047
Hessen,26798
Mecklenburg-Vorpommern,7507
Niedersachsen,29949
Nordrhein-Westfalen,82703
Rheinland-Pfalz,17531
Saarland,3614
Sachsen,11833
Saxony-Anhalt,6618
Schleswig-Holstein,11098
Thüringen,6137
Unknown,≤100
