Location Name,Amount Spent (EUR)
Baden-Württemberg,10246
Bayern,12571
Berlin,5843
Brandenburg,1296
Bremen,715
Hamburg,2694
Hessen,6486
Mecklenburg-Vorpommern,1235
Niedersachsen,8125
Nordrhein-Westfalen,18826
Rheinland-Pfalz,4336
Saarland,1126
Sachsen,2693
Saxony-Anhalt,1444
Schleswig-Holstein,2357
Thüringen,1726
