Location Name,Amount Spent (EUR)
Baden-Württemberg,9914
Bayern,11832
Berlin,5383
Brandenburg,1543
Bremen,696
Hamburg,2417
Hessen,6022
Mecklenburg-Vorpommern,1727
Niedersachsen,8226
Nordrhein-Westfalen,19762
Rheinland-Pfalz,3954
Saarland,875
Sachsen,2712
Saxony-Anhalt,1272
Schleswig-Holstein,2623
Thüringen,1445
