Location Name,Amount Spent (EUR)
Baden-Württemberg,8768
Bayern,10164
Berlin,5431
Brandenburg,991
Bremen,599
Hamburg,2392
Hessen,5280
Mecklenburg-Vorpommern,1333
Niedersachsen,7370
Nordrhein-Westfalen,14700
Rheinland-Pfalz,3473
Saarland,1173
Sachsen,2388
Saxony-Anhalt,1128
Schleswig-Holstein,1797
Thüringen,1102
