Location Name,Amount Spent (EUR)
Baden-Württemberg,8752
Bayern,9594
Berlin,4517
Brandenburg,1332
Bremen,710
Hamburg,2267
Hessen,4774
Mecklenburg-Vorpommern,694
Niedersachsen,5533
Nordrhein-Westfalen,13593
Rheinland-Pfalz,2977
Saarland,791
Sachsen,2239
Saxony-Anhalt,1045
Schleswig-Holstein,1788
Thüringen,1064
