id,name,spend_eur,ads_count,party
121115018256872,Andreas Stoch,7863,116,spd
493734394101595,SPD-Landtagsfraktion Mecklenburg-Vorpommern,7831,252,spd
173369732686833,Bündnis90/Die Grünen Frankfurt,8183,167,gruene
131268050275994,CDU Main-Kinzig,7535,183,cdu
616796941720844,SPD Euskirchen,7534,109,spd
87921510981,SPD Thüringen,7413,276,spd
102878094699976,Thomas Heinzel,7390,100,cdu
1287910941236600,AfD Fraktion Darmstadt,7980,408,afd
100389502022479,Kai Koeser,7342,57,spd
1712174338805050,CDU Kelkheim,7309,62,cdu
202215676478081,FDP MV,7286,208,fdp
200855900382059,Markus Blume,7186,13,cdu
216567531859512,Rhein Erft SPD & SPD Fraktion im Rhein-Erft-Kreistag,7124,55,spd
1566424690272923,Volker Wissing,7070,65,fdp
262653703751126,CDU Gelsenkirchen,7532,71,cdu
103702154562110,Oberbürgermeisterin Karin Welge,6966,61,spd
387862064617610,Grüne Hannover,10557,355,gruene
113775420407024,Silke Gorißen,6853,70,cdu
585678844775646,AfD Hamburg,6803,41,afd
105215094483025,Jens Gnisa,6800,56,cdu
631846080281827,AfD Kreisverband Ravensburg,6760,36,afd
104730014601694,Stephan Walter,6748,396,spd
163688100429588,CDU Rhein-Erft,6702,53,cdu
1676686442620170,AfD Lübeck,6847,82,afd
153467308073688,FDP Bielefeld,7074,419,fdp
188563151156073,CDU Frankfurt am Main,6418,78,cdu
293912054880334,Tobias Vogt,6393,150,cdu
1608463192727453,BÜNDNIS 90/DIE GRÜNEN Schleswig-Holstein,6284,48,gruene
458240880867678,Grüne Stuttgart,10709,511,gruene
1332544013496401,AfD Bayern Landesgruppe im Deutschen Bundestag,11404,21,afd
188188564583,FDP Hessen,6011,122,fdp
371950716321791,Anke Rehlinger,5993,22,spd
103514875204240,Christoph Schork FDP - Bundestagskandidat,5892,54,fdp
322199684504750,SPD Kassel,5825,80,spd
570893299597210,AfD Baden-Württemberg,5817,58,afd
170032743135669,CDU Bielefeld,5774,35,cdu
135775026628805,SPD im Münchner Osten,5748,38,spd
470010929754315,SPD Landkreis Gießen,5688,53,spd
381177051962,Grüne München,11336,259,gruene
206465909483677,CDU Bonn,5630,98,cdu
385647154829722,Landtagsfraktion BÜNDNIS 90/DIE GRÜNEN Sachsen-Anhalt,5866,50,gruene
312751442108983,SPD Ludwigshafen,6116,189,spd
204303396277570,SPD Gelsenkirchen: Unterbezirk und Ratsfraktion,5713,77,spd
202891703059373,SPD Frankfurt,5455,19,spd
207429192606075,Grüne Bremen,5565,187,gruene
165381593630826,SPD Schleswig-Holstein,5413,133,spd
196803203676047,Bündnis 90/Die Grünen Kassel,7608,229,gruene
360849940674426,Dierk Timm,5320,87,spd
266691460417403,Christoph Ploß,5311,384,cdu
363842953730453,AfD Sachsen-Anhalt,5306,61,afd
101640291287044,Susanne Rutenkröger für Bünde,5253,36,spd
194789640569324,FDP Sachsen-Anhalt,5193,146,fdp
183142558400276,SPD Hennef,5134,199,spd
107652469330889,SPD Sachsen-Anhalt,5125,66,spd
243128545750196,GRÜNE Düsseldorf,7875,121,gruene
170723476273472,Grüne Kreisverband Ludwigsburg,5108,254,gruene
143389112451336,Grüne im Kreis Steinfurt,5385,318,gruene
1734131903541810,Marco Morten Pufke,4988,26,cdu
30774145303,NRWSPD,4977,64,spd
970462836298538,SPD Verl,4976,50,spd
338258896262020,Grüne Jugend Rheinland-Pfalz,4974,15,gruene
155763541100403,Martin Hahn,4941,17,gruene
110061767503800,Katja Dörner,4901,59,gruene
1642523692727732,Grüne Rhein-Kreis Neuss,4883,478,gruene
1509344156054331,AfD Darmstadt,5129,304,afd
64680977785,Olaf Tauras - Oberbürgermeister,4852,24,cdu
337333856328097,GRÜNE Bonn,6620,218,gruene
113462377450395,Adis Ahmetovic,4799,120,spd
222005461272345,AfD Hessen,5539,21,afd
128880020505888,SPD Rhein-Sieg,4761,40,spd
100709796660299,SPD Duisburg,4757,81,spd
105353438008289,Jens Metzger - Kreisvorstand von Die Grünen KV Tuttlingen,4752,30,gruene
1873999882830833,Grüne Rhein-Pfalz,6657,191,gruene
1664962947072526,Landtagsabgeordnete Martina Braun,4708,31,gruene
260587924600836,Delara Burkhardt,4650,68,spd
117194528903,Bündnis 90 / Die Grünen Leipzig,6310,301,gruene
566872987051379,Daniel Freund,4600,20,gruene
101595334575322,Ingo Ellerkamp,4587,32,spd
100192175085254,LEV SPD - Neue Perspektiven für ein neues Jahrzehnt,4580,91,spd
146453833478,CSU-Fraktion im Bayerischen Landtag,4536,71,cdu
189006054445407,FDP Saar - SaarLiberale,4804,53,fdp
991016837606375,SPD Hürth,4483,135,spd
176032212432424,CDU Mönchengladbach,4471,101,cdu
354020804610580,SPD Erlangen,4465,134,spd
166830066695333,Grüne Heidelberg,4560,74,gruene
192894677394511,CDU Darmstadt,4448,192,cdu
577254072692345,Uwe Conradt: Saarbrücken - gemeinsam - voran.,4403,77,cdu
1602662696420915,Serpil Midyatli,4380,66,spd
214383545099,SPD Darmstadt,4479,93,spd
679270472492293,Marc Hansmann,4303,591,spd
104649124486252,Benjamin Brandstetter,4289,49,fdp
338807766307963,Daniel Schranz,4289,111,cdu
1760904514159207,Bündnis 90/Die Grünen Dortmund,4275,74,gruene
750480458453254,AfD im Landtag Schleswig-Holstein,7183,116,afd
141233182633803,SPD Wiesbaden,8866,68,spd
361632117220595,Die Linke Bottrop,4223,166,linke
54497594909,Tobias Hans,4189,52,cdu
497328760287617,SPD Düsseldorf,4156,250,spd
295105267257769,SPD Arnsberg,4145,72,spd
109433360575682,Johannes Waldmann,4103,40,spd
218475594838688,Die Hofer CSU,4083,57,cdu
113686870399585,Peter Seimer MdL BW,4072,29,gruene
410100252391597,"Saskia Esken, SPD",4056,77,spd
574378742662379,SPD Stolberg,4056,71,spd
111319193894847,Sabine Pfeffer,4056,32,spd
185448971484872,GRÜNE Hamburg-Wandsbek,4320,100,gruene
675875505874116,Petra Krebs,3964,42,gruene
340333476033377,SPD Hagen,3953,47,spd
104242189650899,Andrea Lindlohr,3944,31,gruene
1224342004311037,Catherine Kern,4104,46,gruene
524965010906886,SPD Land Bremen,4029,730,spd
324712601051697,SPD-Fraktion Treptow-Köpenick,5391,176,spd
1020628358009021,Mittelstands- und Wirtschaftsunion Köln,3892,25,cdu
130938260290333,SPD Magdeburg,3869,34,spd
327862874003443,Anja Karliczek,3861,9,cdu
160531500656482,FDP-Fraktion Bremen,3836,169,fdp
123290727868673,Grüne Mannheim,6944,266,gruene
1932752613695490,Migräne Ohne Mich,3821,22,gruene
225499161202327,"Peter Felser, AfD",3817,102,afd
112333602252654,SPD Witten,3814,115,spd
452938604771335,FDP Kreisverband Neuwied,3973,107,fdp
251373565543211,Sophie Koch,4264,58,spd
126117237417259,FDP Kassel-Stadt,3756,51,fdp
275335619167195,CDU Schleswig-Holstein,3736,35,cdu
357029895386,FDP-Landtagsfraktion NRW,3873,123,fdp
140300602673724,SPD Mecklenburg-Vorpommern,4008,60,spd
254001150144,HammSPD,3703,52,spd
572530603230497,AfD-Fraktion im Hessischen Landtag,3686,147,afd
