Location Name,Amount Spent (EUR)
Baden-Württemberg,14701
Bayern,16322
Berlin,8076
Brandenburg,2070
Bremen,1065
Hamburg,4109
Hessen,8453
Mecklenburg-Vorpommern,1988
Niedersachsen,12463
Nordrhein-Westfalen,24450
Rheinland-Pfalz,5541
Saarland,1427
Sachsen,3595
Saxony-Anhalt,1878
Schleswig-Holstein,4083
Thüringen,1762
