Page ID,Page Name,Disclaimer,Amount Spent (EUR)
100432425468007,Fahrrad_Berlin,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz",≤100
161382607239568,Kabarett-Theater DISTEL,Kabarett-Theater DISTEL,≤100
508980172628755,Dr. Saskia Ludwig,Dr. Saskia Ludwig,≤100
104032794633377,Mein BAföG,Bundesministerium für Bildung und Forschung,≤100
146221668771106,wbg Wissen verbindet,wbg Wissen verbindet,≤100
108345778138419,SEBG - Solarenergie Boitzenburger Land,Solarenergie Boitzenburger Land GmbH,≤100
1768812013390432,Kleiner Fünf,Kleiner Fünf,≤100
117534528257937,Bund für Umwelt und Naturschutz Deutschland,Bund für Umwelt und Naturschutz Deutschland,≤100
248913988520756,Union Investment,Union Investment Privatfonds GmbH,≤100
124651027557566,PHOENIX,phoenix,≤100
323518327800730,AfD Cottbus,Jean-Pascal Hohm,≤100
156304484388194,DIE LINKE. Berlin,DIE LINKE. Berlin,≤100
241036373819,Ben & Jerry's,Ben & Jerry's,≤100
218786540044,WWF Deutschland,WWF Deutschland,≤100
46098347293,Junge Union Deutschlands,Junge Union Deutschlands,≤100
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),≤100
1516172942029028,CDU-Fraktion im Landtag Brandenburg,CDU Fraktion im Landtag Brandenburg,≤100
104228758621197,Hocker statt Höcke - Deutschland. Aber tolerant.,Rainer Opolka,≤100
109478215738226,Armin Laschet,CDU,≤100
137521576294353,Deutsche Kinderhilfe - Die ständige Kindervertretung e.V.,Deutsche Kinderhilfe - Die ständige Kindervertretung e.V.,≤100
161273245888,Save the Children Deutschland,Save the Children Deutschland,≤100
1745982485667400,Guido Reil,Guido Reil,≤100
152650658523697,Sepp Müller,Sepp Müller MdB,≤100
342458239119665,Bündnis 90/Die Grünen Reinickendorf,Bündnis 90/Die Grünen Reinickendorf,≤100
555258241345272,immocation,immocation GmbH,≤100
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,≤100
81386795687,CSU (Christlich-Soziale Union),CSU (Christlich-Soziale Union),≤100
161674141345516,Weltverbesserer,Die Techniker (TK),≤100
2250745291651859,BVB / Freie Wähler Bernau,BVB / FREIE WÄHLER,≤100
259870778893,ARAG Versicherungen,ARAG SE,≤100
