Location Name,Amount Spent (EUR)
Baden-Württemberg,8991
Bayern,10748
Berlin,5137
Brandenburg,1030
Bremen,574
Hamburg,2388
Hessen,5350
Mecklenburg-Vorpommern,989
Niedersachsen,6957
Nordrhein-Westfalen,15222
Rheinland-Pfalz,3424
Saarland,987
Sachsen,2361
Saxony-Anhalt,1114
Schleswig-Holstein,1912
Thüringen,1554
