Location Name,Amount Spent (EUR)
Baden-Württemberg,11433
Bayern,14671
Berlin,6191
Brandenburg,1686
Bremen,739
Hamburg,2888
Hessen,7534
Mecklenburg-Vorpommern,1749
Niedersachsen,9908
Nordrhein-Westfalen,23547
Rheinland-Pfalz,4753
Saarland,1718
Sachsen,2972
Saxony-Anhalt,1525
Schleswig-Holstein,2985
Thüringen,1732
