Location Name,Amount Spent (EUR)
Baden-Württemberg,19650
Bayern,21767
Berlin,15508
Brandenburg,3017
Bremen,1371
Hamburg,7065
Hessen,12524
Mecklenburg-Vorpommern,2630
Niedersachsen,19593
Nordrhein-Westfalen,36459
Rheinland-Pfalz,7761
Saarland,2171
Sachsen,5415
Saxony-Anhalt,2872
Schleswig-Holstein,5394
Thüringen,2887
