Location Name,Amount Spent (EUR)
Baden-Württemberg,9959
Bayern,11124
Berlin,5048
Brandenburg,1423
Bremen,682
Hamburg,2672
Hessen,5572
Mecklenburg-Vorpommern,927
Niedersachsen,6743
Nordrhein-Westfalen,16350
Rheinland-Pfalz,3784
Saarland,1504
Sachsen,2711
Saxony-Anhalt,1281
Schleswig-Holstein,2051
Thüringen,1277
