Location Name,Amount Spent (EUR)
Baden-Württemberg,14724
Bayern,17204
Berlin,10343
Brandenburg,2462
Bremen,1107
Hamburg,5302
Hessen,8787
Mecklenburg-Vorpommern,1878
Niedersachsen,12837
Nordrhein-Westfalen,26194
Rheinland-Pfalz,5811
Saarland,1627
Sachsen,3726
Saxony-Anhalt,2082
Schleswig-Holstein,4137
Thüringen,1699
