Location Name,Amount Spent (EUR)
Baden-Württemberg,14186
Bayern,16638
Berlin,7160
Brandenburg,1832
Bremen,1012
Hamburg,3299
Hessen,8458
Mecklenburg-Vorpommern,2157
Niedersachsen,11252
Nordrhein-Westfalen,27395
Rheinland-Pfalz,6181
Saarland,1504
Sachsen,3591
Saxony-Anhalt,1814
Schleswig-Holstein,3428
Thüringen,2138
