Location Name,Amount Spent (EUR)
Baden-Württemberg,54864
Bayern,68519
Berlin,48117
Brandenburg,11483
Bremen,4191
Hamburg,19662
Hessen,31507
Mecklenburg-Vorpommern,10204
Niedersachsen,39074
Nordrhein-Westfalen,101417
Rheinland-Pfalz,21679
Saarland,6276
Sachsen,15961
Saxony-Anhalt,8683
Schleswig-Holstein,14495
Thüringen,7873
Unknown,≤100
