Location Name,Amount Spent (EUR)
Baden-Württemberg,8539
Bayern,10397
Berlin,5175
Brandenburg,1138
Bremen,534
Hamburg,2613
Hessen,5077
Mecklenburg-Vorpommern,1186
Niedersachsen,6688
Nordrhein-Westfalen,14360
Rheinland-Pfalz,3304
Saarland,1506
Sachsen,2330
Saxony-Anhalt,1132
Schleswig-Holstein,1915
Thüringen,1459
