Location Name,Amount Spent (EUR)
Baden-Württemberg,12983
Bayern,16072
Berlin,6891
Brandenburg,1824
Bremen,1027
Hamburg,3318
Hessen,8221
Mecklenburg-Vorpommern,1943
Niedersachsen,11172
Nordrhein-Westfalen,26367
Rheinland-Pfalz,5372
Saarland,1378
Sachsen,3317
Saxony-Anhalt,1748
Schleswig-Holstein,3834
Thüringen,2107
