Location Name,Amount Spent (EUR)
Baden-Württemberg,10213
Bayern,12101
Berlin,6527
Brandenburg,1351
Bremen,697
Hamburg,2845
Hessen,6208
Mecklenburg-Vorpommern,1481
Niedersachsen,8335
Nordrhein-Westfalen,18584
Rheinland-Pfalz,4148
Saarland,1403
Sachsen,2643
Saxony-Anhalt,1354
Schleswig-Holstein,2398
Thüringen,1303
