Location Name,Amount Spent (EUR)
Baden-Württemberg,12620
Bayern,15529
Berlin,6880
Brandenburg,1750
Bremen,906
Hamburg,3038
Hessen,7637
Mecklenburg-Vorpommern,2003
Niedersachsen,10404
Nordrhein-Westfalen,24719
Rheinland-Pfalz,5405
Saarland,1366
Sachsen,3331
Saxony-Anhalt,1680
Schleswig-Holstein,3112
Thüringen,2061
