Location Name,Amount Spent (EUR)
Baden-Württemberg,29531
Bayern,34827
Berlin,23977
Brandenburg,4344
Bremen,2118
Hamburg,9930
Hessen,18726
Mecklenburg-Vorpommern,5771
Niedersachsen,43612
Nordrhein-Westfalen,53611
Rheinland-Pfalz,12184
Saarland,2874
Sachsen,7624
Saxony-Anhalt,4011
Schleswig-Holstein,7678
Thüringen,4430
Unknown,≤100
