Location Name,Amount Spent (EUR)
Baden-Württemberg,10443
Bayern,12315
Berlin,5864
Brandenburg,1318
Bremen,708
Hamburg,2662
Hessen,6042
Mecklenburg-Vorpommern,1243
Niedersachsen,8322
Nordrhein-Westfalen,22035
Rheinland-Pfalz,4103
Saarland,1465
Sachsen,2517
Saxony-Anhalt,1311
Schleswig-Holstein,2471
Thüringen,1337
