Location Name,Amount Spent (EUR)
Baden-Württemberg,51671
Bayern,62163
Berlin,48096
Brandenburg,10917
Bremen,3864
Hamburg,19983
Hessen,29531
Mecklenburg-Vorpommern,9542
Niedersachsen,36207
Nordrhein-Westfalen,95211
Rheinland-Pfalz,19319
Saarland,5098
Sachsen,15043
Saxony-Anhalt,8025
Schleswig-Holstein,12648
Thüringen,7099
Unknown,≤100
