Location Name,Amount Spent (EUR)
Baden-Württemberg,22966
Bayern,26539
Berlin,16962
Brandenburg,3520
Bremen,1564
Hamburg,6447
Hessen,13931
Mecklenburg-Vorpommern,4090
Niedersachsen,31559
Nordrhein-Westfalen,39776
Rheinland-Pfalz,8773
Saarland,2247
Sachsen,6243
Saxony-Anhalt,3423
Schleswig-Holstein,6008
Thüringen,3413
Unknown,≤100
