Location Name,Amount Spent (EUR)
Baden-Württemberg,28149
Bayern,33344
Berlin,22768
Brandenburg,4236
Bremen,2033
Hamburg,10088
Hessen,17703
Mecklenburg-Vorpommern,5806
Niedersachsen,28632
Nordrhein-Westfalen,52225
Rheinland-Pfalz,11773
Saarland,2847
Sachsen,7415
Saxony-Anhalt,3807
Schleswig-Holstein,7430
Thüringen,4263
Unknown,≤100
