Location Name,Amount Spent (EUR)
Baden-Württemberg,8988
Bayern,10727
Berlin,6055
Brandenburg,1059
Bremen,589
Hamburg,2477
Hessen,5508
Mecklenburg-Vorpommern,1283
Niedersachsen,7534
Nordrhein-Westfalen,14808
Rheinland-Pfalz,3731
Saarland,1210
Sachsen,2452
Saxony-Anhalt,1251
Schleswig-Holstein,2014
Thüringen,1139
