Location Name,Amount Spent (EUR)
Baden-Württemberg,14186
Bayern,17923
Berlin,11108
Brandenburg,2646
Bremen,1039
Hamburg,5359
Hessen,8614
Mecklenburg-Vorpommern,2184
Niedersachsen,13227
Nordrhein-Westfalen,24659
Rheinland-Pfalz,5394
Saarland,1529
Sachsen,4215
Saxony-Anhalt,2139
Schleswig-Holstein,3655
Thüringen,2063
