Location Name,Amount Spent (EUR)
Baden-Württemberg,11527
Bayern,14263
Berlin,6201
Brandenburg,1430
Bremen,811
Hamburg,2979
Hessen,7174
Mecklenburg-Vorpommern,1299
Niedersachsen,8984
Nordrhein-Westfalen,19930
Rheinland-Pfalz,4613
Saarland,1223
Sachsen,3042
Saxony-Anhalt,1520
Schleswig-Holstein,2597
Thüringen,1867
