Location Name,Amount Spent (EUR)
Baden-Württemberg,48564
Bayern,51870
Berlin,39107
Brandenburg,7127
Bremen,3415
Hamburg,16901
Hessen,27714
Mecklenburg-Vorpommern,7332
Niedersachsen,30971
Nordrhein-Westfalen,87517
Rheinland-Pfalz,17887
Saarland,3688
Sachsen,12023
Saxony-Anhalt,6856
Schleswig-Holstein,10855
Thüringen,6110
Unknown,≤100
