Location Name,Amount Spent (EUR)
Baden-Württemberg,9429
Bayern,11101
Berlin,5398
Brandenburg,1079
Bremen,588
Hamburg,2534
Hessen,5395
Mecklenburg-Vorpommern,1002
Niedersachsen,6988
Nordrhein-Westfalen,14993
Rheinland-Pfalz,3410
Saarland,1089
Sachsen,2516
Saxony-Anhalt,1188
Schleswig-Holstein,1907
Thüringen,1715
