Page ID,Page Name,Disclaimer,Amount Spent (EUR)
103355385129734,The Climate Pledge,The Climate Pledge,2032
82734241364,Campact e.V.,Campact e.V.,1232
106626487721376,Amazon Europe,Amazon Europe,1205
21289227249,FDP,FDP,1108
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,1065
178362315106,European Parliament,European Parliament,1042
133430763472093,Gabriela Heinrich,SPD Nürnberg,748
350558562311,FDP Bayern,FDP Bayern,547
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,400
170688644503,UNICEF Deutschland,UNICEF Deutschland,325
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,253
23216224900,Plan International Deutschland,Plan International Deutschland,222
108165514298122,Zukunft sichern,Zukunft Sichern,222
78502295414,CDU,CDU,214
13479664941,JUNGE FREIHEIT,These ads ran without a disclaimer,203
100100816716837,Stadt Augsburg,Stadt Augsburg,203
331832984040,LichtBlick,LichtBlick,195
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,169
143504445664134,Christian Lindner,FDP,164
100755981968185,Seija Knorr-Köning,Seija Knorr-Köning,143
158888744130107,Hubert Aiwanger Minister Bundesvors. Freie Wähler,Hubert Aiwanger,140
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,127
112352081112400,Inyova Impact Investing - Germany,Inyova Impact Investing,126
170357783014155,GRÜNE Landkreis München,BÜNDNIS 90/DIE GRÜNEN,114
123523341045520,Die Familienunternehmer,Die Familienunternehmer,111
90035328642,PETA Deutschland,PETA Deutschland,110
381177051962,Grüne München,BÜNDNIS 90/DIE GRÜNEN,106
478399422560922,KadeFungin,DR. KADE,101
383045615057842,Thomas Dehler Stiftung,Sebastian Zajonz,≤100
404775586259729,Grüner Kreisverband Stadt und Landkreis Rosenheim,Bündnis 90/DIE GRÜNEN Kreisverband Rosenheim,≤100
276040002549416,FREIE WÄHLER Bayern,Freie Wähler Bayern,≤100
110017094494455,Thomas Grämmer,SPD Nürnberg,≤100
1947378708884004,Initiative Frosch,Initiative Frosch,≤100
1655252804795367,Oatly,Oatly,≤100
161674141345516,Weltverbesserer,Die Techniker (TK),≤100
1578640155687393,Sea-Watch,Sea-Watch,≤100
