Location Name,Amount Spent (EUR)
Baden-Württemberg,18530
Bayern,20550
Berlin,14250
Brandenburg,2888
Bremen,1251
Hamburg,6614
Hessen,11458
Mecklenburg-Vorpommern,2534
Niedersachsen,18497
Nordrhein-Westfalen,33464
Rheinland-Pfalz,7109
Saarland,2035
Sachsen,5025
Saxony-Anhalt,2617
Schleswig-Holstein,4993
Thüringen,2629
