Location Name,Amount Spent (EUR)
Baden-Württemberg,8180
Bayern,9311
Berlin,6892
Brandenburg,1600
Bremen,511
Hamburg,3654
Hessen,5360
Mecklenburg-Vorpommern,785
Niedersachsen,5835
Nordrhein-Westfalen,13775
Rheinland-Pfalz,2971
Saarland,933
Sachsen,2080
Saxony-Anhalt,895
Schleswig-Holstein,1678
Thüringen,982
