Location Name,Amount Spent (EUR)
Baden-Württemberg,21639
Bayern,25026
Berlin,14739
Brandenburg,3401
Bremen,1531
Hamburg,6293
Hessen,13076
Mecklenburg-Vorpommern,3575
Niedersachsen,27473
Nordrhein-Westfalen,37434
Rheinland-Pfalz,8061
Saarland,2055
Sachsen,6130
Saxony-Anhalt,3188
Schleswig-Holstein,5802
Thüringen,3191
Unknown,≤100
