Location Name,Amount Spent (EUR)
Baden-Württemberg,15814
Bayern,18444
Berlin,11720
Brandenburg,2387
Bremen,1090
Hamburg,5701
Hessen,9161
Mecklenburg-Vorpommern,2141
Niedersachsen,16085
Nordrhein-Westfalen,27588
Rheinland-Pfalz,5901
Saarland,1931
Sachsen,3873
Saxony-Anhalt,1982
Schleswig-Holstein,3845
Thüringen,1836
Unknown,≤100
