Location Name,Amount Spent (EUR)
Baden-Württemberg,22218
Bayern,27262
Berlin,16863
Brandenburg,3939
Bremen,1548
Hamburg,6690
Hessen,13903
Mecklenburg-Vorpommern,3286
Niedersachsen,26321
Nordrhein-Westfalen,38990
Rheinland-Pfalz,8456
Saarland,2347
Sachsen,6323
Saxony-Anhalt,3486
Schleswig-Holstein,5997
Thüringen,3335
Unknown,≤100
