Page ID,Page Name,Disclaimer,Amount Spent (EUR)
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,2978
103355385129734,The Climate Pledge,The Climate Pledge,1414
47930567748,SPD,SPD,1410
78502295414,CDU,CDU,1390
82734241364,Campact e.V.,Campact e.V.,957
319040328150027,Facebook Politik und Gesellschaft,Facebook Politik und Gesellschaft,851
108824017345866,Facebook,Facebook Inc.,603
21289227249,FDP,FDP,512
105205171835668,Zervakis & Opdenhövel. Live.,ProSieben,477
75159424764,Aktion Mensch,Aktion Mensch,434
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,409
1655252804795367,Oatly,Oatly,365
540404695989874,AfD,AfD,291
400646766650321,Blinkist,Blinks Labs GmbH,288
64694257920,ProSieben,ProSieben,221
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,179
614408642007931,Zurich,Zürich Beteiligungs AG,175
173369732686833,Bündnis90/Die Grünen Frankfurt,Bündnis 90/Die Grünen Frankfurt am Main,170
111033161266569,DeinMorgen,Die Jungen Unternehmer,163
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,145
123523341045520,Die Familienunternehmer,Die Familienunternehmer,126
108165514298122,Zukunft sichern,Zukunft Sichern,121
109478215738226,Armin Laschet,CDU,120
23216224900,Plan International Deutschland,Plan International Deutschland,117
1312721828781856,Diskutier Mit Mir,Diskutier Mit Mir e.V.,116
101597861880857,Felix Döring,Felix Döring,113
263503200272,Welthungerhilfe,Welthungerhilfe,108
2254605154567579,Ernestos Varvaroussis FDP,Ernestos Andreas Varvaroussis,108
1672408719723194,Deutschland3000,funk,106
178362315106,European Parliament,European Parliament,106
1675394899406675,Annalena Baerbock,BÜNDNIS 90/DIE GRÜNEN,103
249296718436,IG Metall,IG Metall,103
114554831934355,Tierschutzbund,Deutscher Tierschutzbund e.V.,≤100
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,≤100
134209407129787,Volt Deutschland,Volt Deutschland,≤100
197640170649147,funk,funk,≤100
376601206024823,DIE DA OBEN!,funk,≤100
564616706926430,Bündnis 90/Die Grünen Darmstadt,BÜNDNIS 90/DIE GRÜNEN,≤100
105983504153522,Brand New Bundestag,Brand New Bundestag,≤100
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),≤100
104032794633377,Mein BAföG,Bundesministerium für Bildung und Forschung,≤100
47694585682,DIE LINKE,DIE LINKE,≤100
154149027994068,ZDF,ZDF,≤100
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,≤100
113319324330513,Politcheck,Forum für politischen und gesellschaftlichen Informationsaustausch,≤100
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,≤100
110949757892446,Wilhelm Gebhard - Ihr Bundestagskandidat,CDU Werra-Werra-Meißner,≤100
196803203676047,Bündnis 90/Die Grünen Kassel,BÜNDNIS 90/DIE GRÜNEN,≤100
331832984040,LichtBlick,LichtBlick,≤100
170688644503,UNICEF Deutschland,UNICEF Deutschland,≤100
1578640155687393,Sea-Watch,Sea-Watch,≤100
1428843544012709,AfD KV Aschaffenburg,AfD-Kreisverband Aschaffenburg,≤100
141233182633803,SPD Wiesbaden,SPD Wiesbaden,≤100
