Page ID,Page Name,Disclaimer,Amount Spent (EUR)
78502295414,CDU,CDU,2461
103355385129734,The Climate Pledge,The Climate Pledge,2068
104342778292114,Kaspar Haller,Kaspar Haller,1791
351947321504088,GRÜNE Niedersachsen,Grüne Niedersachsen,1399
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,1327
82734241364,Campact e.V.,Campact e.V.,1305
319040328150027,Facebook Politik und Gesellschaft,Facebook Politik und Gesellschaft,1183
100822712149179,Katharina Pötter,Katharina Pötter,1033
21289227249,FDP,FDP,872
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,643
110690476948986,Volt Hannover,Volt Deutschland,630
105282747495737,Volt Braunschweig,Volt Deutschland,538
75159424764,Aktion Mensch,Aktion Mensch,442
540404695989874,AfD,AfD,420
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,414
47930567748,SPD,SPD,383
121750731257078,DIE LINKE. Region Hannover,DIE LINKE. Region Hannover,354
76866574484,SPD Niedersachsen,SPD Niedersachsen,285
429181204474582,Volt Oldenburg,Volt Deutschland,225
107085727344683,Mein Schlüssel zur Welt,Bundesministerium für Bildung und Forschung,222
104642715278376,Julius Frilling - FDP Südliches Emsland & Lingen,Julius Johannes Frilling,214
10150139727730045,CDU Hannover,CDU Hannover Stadt,214
387862064617610,Grüne Hannover,BÜNDNIS 90/DIE GRÜNEN,197
163504777056346,SPD Vahrenwald-List,SPD Ortsverein Vahrenwald-List,194
100812792050185,Claudio Provenzano,SPD Garbsen,180
192914530744779,Stephan Weil,SPD Niedersachsen,176
47694585682,DIE LINKE,DIE LINKE,174
400646766650321,Blinkist,Blinks Labs GmbH,172
64694257920,ProSieben,ProSieben,165
331832984040,LichtBlick,LichtBlick,165
102789251842365,Annette Niermann,Annette Maria Niermann,164
106631297626608,SPD Harsefeld,Matthias Mittlmejer,148
179688882067390,Wir für Vechta,Wir für Vechta e.V.,148
109460782417586,CDU in Niedersachsen,CDU in Niedersachsen,142
1436695426543784,Dr. Andreas Ebel,CDU Kreisverband Gifhorn,136
123523341045520,Die Familienunternehmer,Die Familienunternehmer,136
105758994395239,Bastian Zimmermann,Bastian Zimmermann,135
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,134
102768571653125,Dr. Ehsan Kangarani,CDU Göttingen,125
109478215738226,Armin Laschet,CDU,122
